epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3902.64,1.39759,1.01145,0.92065,0.41952,0.32186,0.31538,0.18134,1.36548,1.01026,0.91582,0.005842,0.005842,0.005842
44,3993.17,1.39863,1.00454,0.92126,0.42086,0.31804,0.3173,0.1825,1.36804,1.00758,0.91621,0.005743,0.005743,0.005743
45,4083.6,1.39833,1.00969,0.92279,0.4228,0.31857,0.31664,0.18316,1.36333,1.00167,0.91438,0.005644,0.005644,0.005644
46,4174.07,1.39923,1.0056,0.91954,0.43134,0.31842,0.31842,0.18456,1.36739,0.99788,0.91388,0.005545,0.005545,0.005545
47,4265.57,1.3885,1.00362,0.91982,0.43332,0.32047,0.32175,0.18439,1.37294,0.99671,0.91577,0.005446,0.005446,0.005446
48,4363.82,1.3952,0.99891,0.91989,0.43356,0.32233,0.3204,0.18331,1.36587,0.9955,0.91533,0.005347,0.005347,0.005347
49,4455.42,1.39439,0.99941,0.91949,0.42796,0.32068,0.32009,0.18471,1.3641,0.99104,0.91363,0.005248,0.005248,0.005248
50,4547.24,1.38067,0.99106,0.9184,0.42897,0.32149,0.32172,0.18416,1.36278,0.99197,0.91388,0.005149,0.005149,0.005149
51,4639.53,1.37927,0.98939,0.91793,0.42566,0.32344,0.32485,0.18803,1.35842,0.98777,0.91565,0.00505,0.00505,0.00505
52,4732.46,1.37909,0.98439,0.91694,0.42173,0.32676,0.31975,0.18367,1.36221,0.98766,0.91437,0.004951,0.004951,0.004951
53,4822.47,1.37655,0.98156,0.9166,0.44129,0.32196,0.32352,0.18617,1.35471,0.98457,0.91136,0.004852,0.004852,0.004852
54,4914.75,1.38255,0.98492,0.91588,0.42401,0.32363,0.32068,0.18512,1.35682,0.99072,0.91244,0.004753,0.004753,0.004753
55,5012.28,1.3793,0.98078,0.91619,0.43804,0.32084,0.32431,0.18718,1.35662,0.98632,0.9115,0.004654,0.004654,0.004654
56,5105.15,1.37073,0.97777,0.91449,0.43435,0.32447,0.32464,0.18861,1.3527,0.98201,0.91065,0.004555,0.004555,0.004555
57,5197.24,1.36634,0.97126,0.9142,0.44069,0.32448,0.32496,0.1882,1.35482,0.9806,0.91119,0.004456,0.004456,0.004456
58,5290.9,1.36972,0.97137,0.91436,0.43241,0.32762,0.32418,0.18721,1.35267,0.98641,0.91101,0.004357,0.004357,0.004357
59,94.1246,1.3644,0.9656,0.91239,0.42727,0.32735,0.32456,0.18715,1.35163,0.98067,0.91114,0.004258,0.004258,0.004258
60,188.049,1.37594,0.9728,0.91378,0.43191,0.33184,0.32946,0.19043,1.35012,0.97716,0.91064,0.004159,0.004159,0.004159
61,276.9,1.36383,0.96584,0.912,0.43978,0.32801,0.32709,0.18855,1.34913,0.97772,0.91094,0.00406,0.00406,0.00406
62,364.964,1.36369,0.96278,0.91228,0.43893,0.32575,0.32533,0.18819,1.34903,0.97653,0.91034,0.003961,0.003961,0.003961
63,95.1293,1.33103,0.92905,0.90473,0.43188,0.32619,0.32199,0.18644,1.35523,0.9814,0.9125,0.003862,0.003862,0.003862
64,187.174,1.34229,0.93558,0.90583,0.43248,0.3294,0.32573,0.18846,1.35352,0.97628,0.91251,0.003763,0.003763,0.003763
65,279.381,1.33195,0.93116,0.90476,0.42846,0.32939,0.32382,0.18657,1.352,0.98111,0.91234,0.003664,0.003664,0.003664
66,369.427,1.33935,0.93592,0.90677,0.42752,0.32903,0.32308,0.18648,1.35388,0.97585,0.91143,0.003565,0.003565,0.003565
67,459.386,1.36184,0.95847,0.91191,0.42442,0.32864,0.32351,0.18747,1.3476,0.9774,0.91021,0.003466,0.003466,0.003466
68,549.282,1.35576,0.95185,0.91014,0.42591,0.33137,0.32929,0.1908,1.35077,0.97526,0.9112,0.003367,0.003367,0.003367
69,639.623,1.35276,0.95039,0.9111,0.44181,0.3251,0.32882,0.19089,1.34277,0.97387,0.90951,0.003268,0.003268,0.003268
70,728.63,1.34809,0.94658,0.90875,0.44195,0.32844,0.32976,0.19118,1.34448,0.97027,0.90972,0.003169,0.003169,0.003169
